"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
5	4	5	1	5	2	4	2	2	5	5	1	5	3	5	5	4	2	2	5	1	4	1	5	5	5	1	4	2	4	1	4	5	5	1	5	1	5	1	4	2	4	1	5	3	3	3	4	4	1	2	1962	1	1	6	14	32
4	3	5	1	4	4	5	3	5	5	4	1	5	2	4	4	5	4	3	4	3	4	2	5	5	3	2	4	2	4	4	5	4	4	3	4	2	4	3	4	2	4	2	4	3	4	3	4	4	1	2	1959	1	1	5	9	33
4	4	5	1	4	4	4	1	5	5	5	1	5	4	3	4	4	1	4	4	4	4	1	5	4	4	4	5	4	2	4	5	5	5	5	4	2	5	4	4	4	4	2	2	1	4	3	1	3	2	2	1951	2	1	4	11	33
2	4	4	1	2	4	3	2	3	5	5	1	5	3	4	2	4	4	3	5	5	2	5	4	3	2	4	4	2	3	4	3	2	3	4	2	4	4	2	4	4	2	4	2	2	4	3	3	3	1	2	1960	2	1	5	5	46
5	1	5	2	4	1	5	3	2	5	5	1	4	4	4	5	4	3	4	5	2	4	1	2	4	5	4	5	4	5	2	4	4	4	1	4	2	5	1	3	1	4	3	5	2	1	3	4	5	1	2	1955	1	2	5	13	7
4	1	4	1	5	1	5	4	5	4	4	1	4	1	5	5	5	4	1	4	1	5	2	5	5	5	1	4	1	4	1	5	4	5	1	4	1	4	1	5	2	5	2	4	3	1	1	1	3	1	1	1946	1	1	6	13	18
4	2	5	2	3	4	5	3	4	4	3	1	5	3	4	4	5	5	1	3	4	5	3	5	4	2	5	5	3	2	5	5	2	4	1	4	1	4	2	5	4	5	2	2	3	3	3	4	4	1	2	1964	1	1	6	14	37
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	5	2	2	1956	1	1	3	12	46
4	3	4	4	3	4	4	2	2	3	2	3	5	4	4	2	4	3	4	4	3	3	2	2	4	2	3	3	4	4	4	5	4	2	2	2	3	4	4	3	2	4	2	4	1	1	1	2	1	1	1	1976	2	1	5	3	19
5	3	5	1	4	1	5	3	5	5	4	3	5	3	4	4	4	3	1	5	1	5	2	5	5	5	2	5	4	4	1	5	5	5	3	5	3	3	1	5	2	4	3	2	3	2	3	4	5	1	2	1963	1	1	3	12	9
1	4	5	3	4	4	4	2	5	4	3	2	5	4	4	3	2	1	3	3	5	2	3	4	2	1	5	4	4	4	4	3	3	4	5	2	3	4	3	4	3	5	3	2	3	4	2	1	3	1	1	1968	1	1	2	10	37
3	2	5	1	4	3	4	1	3	4	3	1	5	3	4	3	3	1	3	4	3	4	1	4	3	4	3	4	4	4	2	4	5	4	1	3	4	4	2	4	4	4	1	4	2	4	2	2	3	1	1	1957	2	2	6	14	20
2	2	5	1	4	1	4	1	5	4	4	1	5	2	2	4	5	2	2	3	1	5	1	5	3	4	1	5	2	2	1	4	4	4	2	5	2	4	2	4	1	5	3	1	3	4	3	2	4	1	2	1951	1	1	5	12	22
2	4	4	4	5	4	4	2	5	5	4	1	4	4	5	2	4	2	2	4	4	4	4	5	5	4	4	4	4	4	4	2	4	5	2	4	4	4	2	4	2	4	4	5	2	1	3	4	4	1	2	1973	1	1	5	9	42
1	4	4	3	4	5	3	2	4	5	4	3	5	4	4	2	4	2	2	4	4	3	1	3	4	4	4	4	3	2	4	2	4	4	2	2	1	4	4	4	4	4	3	2	3	4	3	3	4	1	2	1964	1	1	5	12	34
5	4	5	1	3	1	3	1	3	4	5	4	5	5	5	3	4	2	2	4	1	4	1	4	2	4	2	4	4	5	1	3	4	2	2	4	4	3	2	4	4	4	5	2	4	4	3	3	4	1	2	1964	1	1	5	7	36
2	2	5	2	5	4	5	2	4	4	4	1	5	5	5	3	3	1	4	4	5	5	1	5	3	3	1	5	4	3	5	5	5	4	4	2	2	5	5	4	4	3	1	4	4	2	3	4	4	1	2	1977	1	1	4	6	18
